edge_id,from_id,to_id
0,11,16
1,13,19
2,7,11
3,12,10
4,6,8
5,2,6
6,4,10
7,15,16
8,14,19
9,18,15
10,9,13
11,0,16
12,1,8
13,5,18
14,17,12
15,3,15
16,21,2
17,21,18
18,24,13
19,32,9
20,33,15
21,33,24
22,34,18
23,37,6
24,38,24
25,39,6
26,39,37
27,40,9
28,40,16
29,40,21
30,41,4
31,41,18
32,43,17
33,43,18
34,44,6
35,44,17
36,46,6
37,46,44
38,47,8
39,49,40
40,50,6
41,50,37
42,50,40
43,51,14
44,51,15
45,51,37
46,52,39
47,52,40
48,53,2
49,53,18
50,54,38
51,57,6
52,57,44
53,58,15
54,60,8
55,62,50
56,65,8
57,65,52
58,67,11
59,67,18
60,68,50
61,70,7
62,70,24
63,71,70
64,72,7
65,73,6
66,73,18
67,75,9
68,75,12
69,75,33
70,75,39
71,77,12
72,77,34
73,80,1
74,81,9
75,82,9
76,82,21
77,84,34
78,85,15
79,85,37
80,87,40
81,88,44
82,91,44
83,93,8
84,95,2
85,95,6
86,96,33
87,96,70
88,98,18
89,98,21
90,99,6
91,100,14
92,103,39
93,104,67
94,106,10
95,109,9
96,109,37
97,111,6
98,111,18
99,113,6
100,115,1
101,115,70
102,116,9
103,116,33
104,116,71
105,117,33
106,119,18
107,121,9
108,122,44
109,123,47
110,124,115
111,125,15
112,125,37
113,126,65
114,127,40
115,128,43
116,128,50
117,129,13
118,130,15
119,136,33
120,136,39
121,137,70
122,138,50
123,138,109
124,140,21
125,141,117
126,142,37
127,142,127
128,142,128
129,143,49
130,143,87
131,144,19
132,144,85
133,145,121
134,145,144
135,148,47
136,148,144
137,149,40
138,149,65
139,150,41
140,151,40
141,153,104
142,154,91
143,155,34
144,155,39
145,156,33
146,156,73
147,156,104
148,158,37
149,161,16
150,162,15
151,162,44
152,162,96
153,163,13
154,163,40
155,164,142
156,164,158
157,165,2
158,165,149
159,166,15
160,166,47
161,166,122
162,167,15
163,167,144
164,169,6
165,170,12
166,171,87
167,173,2
168,174,82
169,175,104
170,178,9
171,178,156
172,179,33
173,179,143
174,179,165
175,182,0
176,182,178
177,184,37
178,184,111
179,184,178
180,185,17
181,185,44
182,185,155
183,186,0
184,186,142
185,188,111
186,190,0
187,191,49
188,192,21
189,192,158
190,193,15
191,193,184
192,194,116
193,196,40
194,196,193
195,197,32
196,197,121
197,198,18
198,199,39
199,202,9
200,203,44
201,207,10
202,207,15
203,207,40
204,208,155
205,209,11
206,210,50
207,211,2
208,213,143
209,214,174
210,216,15
211,216,165
212,217,6
213,218,115
214,219,6
215,219,50
216,219,193
217,222,43
218,224,182
219,226,75
220,227,207
221,228,15
222,229,40
223,229,164
224,231,11
225,233,10
226,234,9
227,234,57
228,236,49
229,236,111
230,237,144
231,240,9
232,241,158
233,242,207
234,243,15
235,243,50
236,245,53
237,247,148
238,248,2
239,248,6
240,250,2
241,254,33
242,255,95
243,257,233
244,258,2
245,258,18
246,260,6
247,261,39
248,263,95
249,264,65
250,270,43
251,271,37
252,273,17
253,273,33
254,273,47
255,273,142
256,274,13
257,276,178
258,277,155
259,277,175
260,279,6
261,280,47
262,280,85
263,281,73
264,283,67
265,285,44
266,286,231
267,288,182
268,292,6
269,292,18
270,292,44
271,293,15
272,293,233
273,294,148
274,295,156
275,297,47
276,299,50
277,300,6
278,300,13
279,301,11
280,301,17
281,302,21
282,302,37
283,303,19
