"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
1,"AD-02",02,"Canillo","EU","AD","http://en.wikipedia.org/wiki/Canillo",
2,"AD-03",03,"Encamp","EU","AD","http://en.wikipedia.org/wiki/Encamp",
3,"AD-04",04,"La Massana","EU","AD","http://en.wikipedia.org/wiki/La_Massana",
4,"AD-05",05,"Ordino","EU","AD","http://en.wikipedia.org/wiki/Ordino",
5,"AD-06",06,"Sant Julià de Lòria","EU","AD","http://en.wikipedia.org/wiki/Sant_Julià_de_Lòria",
6,"AD-07",07,"Andorra la Vella","EU","AD","http://en.wikipedia.org/wiki/Andorra_la_Vella",
7,"AD-08",08,"Escaldes-Engordany","EU","AD","http://en.wikipedia.org/wiki/Escaldes-Engordany",
8,"AD-U-A","U-A","(unassigned)","EU","AD",,
9,"AE-AJ","AJ","Ajman Emirate","AS","AE","http://en.wikipedia.org/wiki/Ajman","'Ajmān"
10,"AE-AZ","AZ","Abu Dhabi Emirate","AS","AE","http://en.wikipedia.org/wiki/Abu_Dhabi_(emirate)","Abu Ẓaby"
11,"AE-DU","DU","Dubai Emirate","AS","AE","http://en.wikipedia.org/wiki/Dubai","Dubayy"
12,"AE-FU","FU","Fujairah Emirate","AS","AE","http://en.wikipedia.org/wiki/Fujairah","Al Fujayrah"
13,"AE-RK","RK","Ras al-Khaimah Emirate","AS","AE","http://en.wikipedia.org/wiki/Ras_al-Khaimah","Ra's al Khaymah"
14,"AE-SH","SH","Sharjah Emirate","AS","AE","http://en.wikipedia.org/wiki/Sharjah_(emirate)","Ash Shāriqah"
15,"AE-U-A","U-A","(unassigned)","AS","AE",,
16,"AE-UQ","UQ","Umm al-Quwain Emirate","AS","AE","http://en.wikipedia.org/wiki/Umm_al-Quwain",
17,"AF-BAL","BAL","Balkh Province","AS","AF","http://en.wikipedia.org/wiki/Balkh_Province",
18,"AF-BAM","BAM","Bamiyan Province","AS","AF","http://en.wikipedia.org/wiki/Bamyian_Province",
19,"AF-BDG","BDG","Badghis Province","AS","AF","http://en.wikipedia.org/wiki/Badghis_Province",
20,"AF-BDS","BDS","Badakhshan Province","AS","AF","http://en.wikipedia.org/wiki/Badakhshan_Province",
21,"AF-BGL","BGL","Baghlan Province","AS","AF","http://en.wikipedia.org/wiki/Baghlan_Province",
4898,"AF-DAY","DAY","Daykundi Province","AS","AF","http://en.wikipedia.org/wiki/Daykundi_Province",
22,"AF-FRA","FRA","Farah Province","AS","AF","http://en.wikipedia.org/wiki/Farah_Province",
23,"AF-FYB","FYB","Faryab Province","AS","AF","http://en.wikipedia.org/wiki/Faryab_Province",
24,"AF-GHA","GHA","Ghazni Province","AS","AF","http://en.wikipedia.org/wiki/Ghazni_Province",
25,"AF-GHO","GHO","Ghōr Province","AS","AF","http://en.wikipedia.org/wiki/Gh%C5%8Dr_Province",
26,"AF-HEL","HEL","Helmand Province","AS","AF","http://en.wikipedia.org/wiki/Helmand_Province",
27,"AF-HER","HER","Herat Province","AS","AF","http://en.wikipedia.org/wiki/Herat_Province",
28,"AF-JOW","JOW","Jowzjan Province","AS","AF","http://en.wikipedia.org/wiki/Jowzjan_Province",
29,"AF-KAB","KAB","Kabul Province","AS","AF","http://en.wikipedia.org/wiki/Kabul_Province",
30,"AF-KAN","KAN","Kandahar Province","AS","AF","http://en.wikipedia.org/wiki/Kandahar_Province",
31,"AF-KAP","KAP","Kapisa Province","AS","AF","http://en.wikipedia.org/wiki/Kapisa_Province",
32,"AF-KDZ","KDZ","Kunduz Province","AS","AF","http://en.wikipedia.org/wiki/Kunduz_Province",
33,"AF-KHO","KHO","Khost Province","AS","AF","http://en.wikipedia.org/wiki/Khost_Province",
34,"AF-KNR","KNR","Kunar Province","AS","AF","http://en.wikipedia.org/wiki/Kunar_Province",
35,"AF-LAG","LAG","Laghman Province","AS","AF","http://en.wikipedia.org/wiki/Laghman_Province",
36,"AF-LOW","LOW","Logar Province","AS","AF","http://en.wikipedia.org/wiki/Logar_Province",
37,"AF-NAN","NAN","Nangarhar Province","AS","AF","http://en.wikipedia.org/wiki/Nangarhar_Province",
38,"AF-NIM","NIM","Nimruz Province","AS","AF","http://en.wikipedia.org/wiki/Nimruz_Province",
39,"AF-NUR","NUR","Nurestan Province","AS","AF","http://en.wikipedia.org/wiki/Nurestan_Province",
40,"AF-ORU","ORU","Orūzgān Province","AS","AF","http://en.wikipedia.org/wiki/Or%C5%ABzg%C4%81n_Province",
4899,"AF-PAN","PAN","Panjshir Province","AS","AF","http://en.wikipedia.org/wiki/Panjshir_Province",
41,"AF-PAR","PAR","Parwan Province","AS","AF","http://en.wikipedia.org/wiki/Parwan_Province",
42,"AF-PIA","PIA","Paktia Province","AS","AF","http://en.wikipedia.org/wiki/Paktia_Province",
43,"AF-PKA","PKA","Paktika Province","AS","AF","http://en.wikipedia.org/wiki/Paktika_Province",
44,"AF-SAM","SAM","Samangan Province","AS","AF","http://en.wikipedia.org/wiki/Samangan_Province",
45,"AF-SAR","SAR","Sar-e Pol Province","AS","AF","http://en.wikipedia.org/wiki/Sar-e_Pol_Province",
46,"AF-TAK","TAK","Takhar Province","AS","AF","http://en.wikipedia.org/wiki/Takhar_Province",
47,"AF-U-A","U-A","(unassigned)","AS","AF",,
48,"AF-WAR","WAR","Wardak Province","AS","AF","http://en.wikipedia.org/wiki/Wardak_Province",
49,"AF-ZAB","ZAB","Zabul Province","AS","AF","http://en.wikipedia.org/wiki/Zabul_Province",
4769,"AG-03",03,"Saint George","NA","AG","http://en.wikipedia.org/wiki/Saint_George_Parish_(Antigua_and_Barbuda)",
4770,"AG-04",04,"Saint John","NA","AG","http://en.wikipedia.org/wiki/Saint_John_Parish_(Antigua_and_Barbuda)",
4771,"AG-05",05,"Saint Mary","NA","AG","http://en.wikipedia.org/wiki/Saint_Mary_Parish_(Antigua_and_Barbuda)",
4772,"AG-06",06,"Saint Paul","NA","AG","http://en.wikipedia.org/wiki/Saint_Paul_Parish_(Antigua_and_Barbuda)",
4773,"AG-07",07,"Saint Peter","NA","AG","http://en.wikipedia.org/wiki/Saint_Peter_Parish_(Antigua_and_Barbuda)",
4774,"AG-08",08,"Saint Philip","NA","AG","http://en.wikipedia.org/wiki/Saint_Philip_Parish_(Antigua_and_Barbuda)",
